;name;link;company_name;site;salary_min;salary_max;salary_currency
146;Python разработчик в SberDevices (направление B2B2C);https://nn.hh.ru/vacancy/41032029?from=vacancy_search_list&query=python;Сбер. IT;hh.ru;;;
147;Python developer / Python разработчик;https://nn.hh.ru/vacancy/48839061?from=vacancy_search_list&query=python;САТЕЛ, Группа компаний;hh.ru;;;
148;Python Developer;https://nn.hh.ru/vacancy/48700244?from=vacancy_search_list&query=python;Город Иннополис;hh.ru;;;
149;Python-разработчик/Senior Python-разработчик;https://nn.hh.ru/vacancy/44790039?from=vacancy_search_list&query=python;Информационное агентство России ТАСС;hh.ru;;;
150;Python разработчик (Middle+/Senior);https://nn.hh.ru/vacancy/45806688?from=vacancy_search_list&query=python;ООО Строительный Двор;hh.ru;200000.0;250000.0;руб.
151;Разработчик Python;https://nn.hh.ru/vacancy/48640771?from=vacancy_search_list&query=python;НПФ БУДУЩЕЕ;hh.ru;;;
152;Python разработчик в SberDevices (b2e);https://nn.hh.ru/vacancy/44536394?from=vacancy_search_list&query=python;Сбер. IT;hh.ru;;;
153;Разработчик Python;https://nn.hh.ru/vacancy/47301256?from=vacancy_search_list&query=python;ВСК, САО;hh.ru;;;
154;Python разработчик (удаленно);https://nn.hh.ru/vacancy/40278614?from=vacancy_search_list&query=python;ООО Строительный Двор;hh.ru;150000.0;220000.0;руб.
155;Программист Python (Junior/Middle);https://nn.hh.ru/vacancy/48485942?from=vacancy_search_list&query=python;VIRTUAL ASSISTANTS;hh.ru;;100000.0;руб.
156;Стажер-разработчик бэкенда (Python);https://nn.hh.ru/vacancy/48502238?from=vacancy_search_list&query=python;Яндекс;hh.ru;;;
157;Python разработчик;https://nn.hh.ru/vacancy/48570014?from=vacancy_search_list&query=python;Сбер. IT;hh.ru;;;
158;Программист Python;https://nn.hh.ru/vacancy/48527158?from=vacancy_search_list&query=python;ООО Цифровые Сервисы;hh.ru;;;
159;Python developer;https://nn.hh.ru/vacancy/48585136?from=vacancy_search_list&query=python;Адвентум;hh.ru;;;
160;Python Developer;https://nn.hh.ru/vacancy/48421835?from=vacancy_search_list&query=python;QIWI;hh.ru;150000.0;220000.0;руб.
161;Python developer;https://nn.hh.ru/vacancy/48240439?from=vacancy_search_list&query=python;Artezio;hh.ru;160000.0;;руб.
162;Python developer;https://nn.hh.ru/vacancy/46705549?from=vacancy_search_list&query=python;Improvado;hh.ru;;;
163;Python developer;https://nn.hh.ru/vacancy/47757929?from=vacancy_search_list&query=python;Леруа Мерлен. Центральный офис;hh.ru;;;
164;Python разработчик (ритейл);https://nn.hh.ru/vacancy/48475996?from=vacancy_search_list&query=python;ООО ИЦ АЙ-ТЕКО;hh.ru;;;
165;Специалист Computer Vision (Senior Data Scientist);https://nn.hh.ru/vacancy/48577770?from=vacancy_search_list&query=python;ООО Медицинские Скрининг Системы;hh.ru;180000.0;300000.0;руб.
166;Python разработчик (Рамблер/рекомендации);https://nn.hh.ru/vacancy/48586117?from=vacancy_search_list&query=python;Rambler Group;hh.ru;;;
167;"Наставник на курс ""Python-разработчик""";https://nn.hh.ru/vacancy/47185368?from=vacancy_search_list&query=python;Яндекс.Практикум;hh.ru;;;
168;Python разработчик (Платформа DMP);https://nn.hh.ru/vacancy/48586135?from=vacancy_search_list&query=python;Rambler Group;hh.ru;;;
169;Python Developer;https://nn.hh.ru/vacancy/48430593?from=vacancy_search_list&query=python;ООО КонсалтПро;hh.ru;;350000.0;руб.
170;Python разработчик;https://nn.hh.ru/vacancy/47368969?from=vacancy_search_list&query=python;Сбер. IT;hh.ru;;;
171;Программист Python Django;https://nn.hh.ru/vacancy/48413507?from=vacancy_search_list&query=python;beei.ai;hh.ru;80000.0;;руб.
172;Python Developer;https://nn.hh.ru/vacancy/43910922?from=vacancy_search_list&query=python;АНО Диалог Регионы;hh.ru;;;
173;Разработчик Python/Scala;https://nn.hh.ru/vacancy/46833140?from=vacancy_search_list&query=python;ПАО МегаФон, Офис;hh.ru;;;
174;Python Developer;https://nn.hh.ru/vacancy/48439825?from=vacancy_search_list&query=python;Сбер. IT;hh.ru;;;
175;Python-разработчик (Django);https://nn.hh.ru/vacancy/48395739?from=vacancy_search_list&query=python;ПАО «МТС» ;hh.ru;;;
176;Разработчик Python/Django;https://nn.hh.ru/vacancy/48381095?from=vacancy_search_list&query=python;Код Безопасности;hh.ru;;;
177;Data engineer (Python Hadoop Spark);https://nn.hh.ru/vacancy/48403574?from=vacancy_search_list&query=python;X5 RETAIL GROUP;hh.ru;;;
178;Разработчик Python;https://nn.hh.ru/vacancy/48347324?from=vacancy_search_list&query=python;Selecty;hh.ru;;;
179;Программист Python (Webscanner);https://nn.hh.ru/vacancy/48310679?from=vacancy_search_list&query=python;Positive Technologies;hh.ru;;;
180;Специалист по тестированию;https://nn.hh.ru/vacancy/40585500?from=vacancy_search_list&query=python;HeadHunter::QA;hh.ru;;;
181;DevOps - инженер в Сбере;https://nn.hh.ru/vacancy/47300834?from=vacancy_search_list&query=python;Сбер. IT;hh.ru;;;
182;DevOps - инженер в Сбере;https://nn.hh.ru/vacancy/47300835?from=vacancy_search_list&query=python;Сбер. IT;hh.ru;;;
183;DevOps - инженер в Сбере;https://nn.hh.ru/vacancy/47300838?from=vacancy_search_list&query=python;Сбер. IT;hh.ru;;;
184;Product Analyst в Marketing;https://nn.hh.ru/vacancy/48726248?from=vacancy_search_list&query=python;Skyeng;hh.ru;180000.0;250000.0;руб.
185;Senior Quantitative Risk Analyst;https://nn.hh.ru/vacancy/48938845?from=vacancy_search_list&query=python;Сбер. Data Science;hh.ru;;;
186;PHP Backend Developer;https://nn.hh.ru/vacancy/49185318?from=vacancy_search_list&query=python;ADAPTER;hh.ru;;;
187;Middle Product Manager в Fax App;https://nn.hh.ru/vacancy/48953559?from=vacancy_search_list&query=python;Municorn;hh.ru;200000.0;250000.0;руб.
188;Senior QA инженер;https://nn.hh.ru/vacancy/47759634?from=vacancy_search_list&query=python;HeadHunter::QA;hh.ru;200000.0;;руб.
189;Senior Product Manager в Fax App;https://nn.hh.ru/vacancy/48954821?from=vacancy_search_list&query=python;Municorn;hh.ru;250000.0;300000.0;руб.
190;TeamLead Java (Clickme);https://nn.hh.ru/vacancy/48789092?from=vacancy_search_list&query=python;HeadHunter::Backend;hh.ru;;;
191;Специалист по тестированию в команду Clickme;https://nn.hh.ru/vacancy/48336664?from=vacancy_search_list&query=python;HeadHunter::QA;hh.ru;;;
192;QA в команды инфрастуктуры frontend и безопасности;https://nn.hh.ru/vacancy/47892571?from=vacancy_search_list&query=python;HeadHunter::QA;hh.ru;;;
193;Специалист службы поддержки с техническими знаниями (Умные устройства);https://nn.hh.ru/vacancy/48036812?from=vacancy_search_list&query=python;Яндекс;hh.ru;15000.0;;руб.
